,index,qtype,story,perceivers,story_with_perceivers
15,15,first_order_0_tom,"['Isla entered the crawlspace', 'Mila entered the crawlspace', 'Amelia likes the grapefruit', 'The turnip is in the box', 'The box is in the crawlspace', 'Isla exited the crawlspace', 'Mila moved the turnip to the basket', 'The basket is in the crawlspace', 'Amelia entered the crawlspace', 'Mila exited the crawlspace', 'Mila hates the peas', 'Isla entered the living room']","[['Isla'], ['Mila', 'Isla'], ['Amelia'], ['Isla', 'Mila'], ['Isla', 'Mila'], ['Isla', 'Mila'], ['Mila'], ['Mila'], ['Amelia', 'Mila'], ['Mila', 'Amelia'], ['Mila'], ['Isla']]","[{'Isla entered the crawlspace': ['Isla']}, {'Mila entered the crawlspace': ['Mila', 'Isla']}, {'Amelia likes the grapefruit': ['Amelia']}, {'The turnip is in the box': ['Isla', 'Mila']}, {'The box is in the crawlspace': ['Isla', 'Mila']}, {'Isla exited the crawlspace': ['Isla', 'Mila']}, {'Mila moved the turnip to the basket': ['Mila']}, {'The basket is in the crawlspace': ['Mila']}, {'Amelia entered the crawlspace': ['Amelia', 'Mila']}, {'Mila exited the crawlspace': ['Mila', 'Amelia']}, {'Mila hates the peas': ['Mila']}, {'Isla entered the living room': ['Isla']}]"
16,16,second_order_0_no_tom,"['Avery entered the bathroom', 'James entered the bathroom', 'The pumpkin is in the pantry', 'The pantry is in the bathroom', 'Elizabeth entered the bathroom', 'Avery moved the pumpkin to the suitcase', 'The suitcase is in the bathroom', 'James exited the bathroom', 'Elizabeth exited the bathroom', 'Avery dislikes the plum', 'James entered the garden']","[['Avery'], ['James', 'Avery'], ['Avery', 'James'], ['Avery', 'James'], ['Elizabeth', 'Avery', 'James'], ['Avery', 'James', 'Elizabeth'], ['Avery', 'James', 'Elizabeth'], ['James', 'Avery', 'Elizabeth'], ['Elizabeth', 'Avery'], ['Avery'], ['James']]","[{'Avery entered the bathroom': ['Avery']}, {'James entered the bathroom': ['James', 'Avery']}, {'The pumpkin is in the pantry': ['Avery', 'James']}, {'The pantry is in the bathroom': ['Avery', 'James']}, {'Elizabeth entered the bathroom': ['Elizabeth', 'Avery', 'James']}, {'Avery moved the pumpkin to the suitcase': ['Avery', 'James', 'Elizabeth']}, {'The suitcase is in the bathroom': ['Avery', 'James', 'Elizabeth']}, {'James exited the bathroom': ['James', 'Avery', 'Elizabeth']}, {'Elizabeth exited the bathroom': ['Elizabeth', 'Avery']}, {'Avery dislikes the plum': ['Avery']}, {'James entered the garden': ['James']}]"
17,17,second_order_0_no_tom,"['Carter entered the patio', 'Jackson entered the cellar', 'Jackson loves the underpants', 'Hunter is in the patio', 'Jackson exited the cellar', 'The slippers is in the pantry', 'The pantry is in the patio', 'Hunter moved the slippers to the treasure chest', 'The treasure chest is in the patio', 'Carter exited the patio']","[['Carter'], ['Jackson'], ['Jackson'], ['Hunter', 'Carter'], ['Jackson'], ['Carter', 'Hunter'], ['Carter', 'Hunter'], ['Hunter', 'Carter'], ['Carter', 'Hunter'], ['Carter', 'Hunter']]","[{'Carter entered the patio': ['Carter']}, {'Jackson entered the cellar': ['Jackson']}, {'Jackson loves the underpants': ['Jackson']}, {'Hunter is in the patio': ['Hunter', 'Carter']}, {'Jackson exited the cellar': ['Jackson']}, {'The slippers is in the pantry': ['Carter', 'Hunter']}, {'The pantry is in the patio': ['Carter', 'Hunter']}, {'Hunter moved the slippers to the treasure chest': ['Hunter', 'Carter']}, {'The treasure chest is in the patio': ['Carter', 'Hunter']}, {'Carter exited the patio': ['Carter', 'Hunter']}]"
22,23,first_order_0_no_tom,"['Elizabeth entered the garage', 'Chloe entered the garage', 'Liam entered the garage', 'The sweater is in the suitcase', 'The suitcase is in the garage', 'Chloe moved the sweater to the container', 'The container is in the garage', 'Liam exited the garage', 'Chloe hates the undershirt', 'Chloe exited the garage', 'Liam entered the garage']","[['Elizabeth'], ['Chloe', 'Elizabeth'], ['Liam', 'Elizabeth', 'Chloe'], ['Elizabeth', 'Chloe', 'Liam'], ['Elizabeth', 'Chloe', 'Liam'], ['Chloe', 'Elizabeth', 'Liam'], ['Elizabeth', 'Chloe', 'Liam'], ['Liam', 'Elizabeth', 'Chloe'], ['Chloe'], ['Chloe', 'Elizabeth'], ['Liam', 'Elizabeth']]","[{'Elizabeth entered the garage': ['Elizabeth']}, {'Chloe entered the garage': ['Chloe', 'Elizabeth']}, {'Liam entered the garage': ['Liam', 'Elizabeth', 'Chloe']}, {'The sweater is in the suitcase': ['Elizabeth', 'Chloe', 'Liam']}, {'The suitcase is in the garage': ['Elizabeth', 'Chloe', 'Liam']}, {'Chloe moved the sweater to the container': ['Chloe', 'Elizabeth', 'Liam']}, {'The container is in the garage': ['Elizabeth', 'Chloe', 'Liam']}, {'Liam exited the garage': ['Liam', 'Elizabeth', 'Chloe']}, {'Chloe hates the undershirt': ['Chloe']}, {'Chloe exited the garage': ['Chloe', 'Elizabeth']}, {'Liam entered the garage': ['Liam', 'Elizabeth']}]"
24,25,first_order_1_no_tom,"['Olivia dislikes the slippers', 'Logan entered the basement', 'Jackson entered the basement', 'Olivia loves the radish', 'The cabbage is in the envelope', 'The envelope is in the basement', 'Jackson exited the basement', 'Olivia entered the bathroom', 'Jackson entered the basement', 'Olivia exited the bathroom', 'Logan moved the cabbage to the basket', 'The basket is in the basement']","[['Olivia'], ['Logan'], ['Jackson', 'Logan'], ['Olivia'], ['Logan', 'Jackson'], ['Logan', 'Jackson'], ['Jackson', 'Logan'], ['Olivia'], ['Jackson', 'Logan'], ['Olivia'], ['Logan', 'Jackson'], ['Logan', 'Jackson']]","[{'Olivia dislikes the slippers': ['Olivia']}, {'Logan entered the basement': ['Logan']}, {'Jackson entered the basement': ['Jackson', 'Logan']}, {'Olivia loves the radish': ['Olivia']}, {'The cabbage is in the envelope': ['Logan', 'Jackson']}, {'The envelope is in the basement': ['Logan', 'Jackson']}, {'Jackson exited the basement': ['Jackson', 'Logan']}, {'Olivia entered the bathroom': ['Olivia']}, {'Jackson entered the basement': ['Jackson', 'Logan']}, {'Olivia exited the bathroom': ['Olivia']}, {'Logan moved the cabbage to the basket': ['Logan', 'Jackson']}, {'The basket is in the basement': ['Logan', 'Jackson']}]"
26,27,first_order_0_no_tom,"['Aiden entered the dining room', 'Nathan entered the dining room', 'The eggplant is in the basket', 'The basket is in the dining room', 'Aiden moved the eggplant to the bucket', 'The bucket is in the dining room', 'Nathan exited the dining room', 'Lucas entered the dining room', 'Lucas exited the dining room', 'Nathan entered the dining room']","[['Aiden'], ['Nathan', 'Aiden'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Nathan', 'Aiden'], ['Lucas', 'Aiden'], ['Lucas', 'Aiden'], ['Nathan', 'Aiden']]","[{'Aiden entered the dining room': ['Aiden']}, {'Nathan entered the dining room': ['Nathan', 'Aiden']}, {'The eggplant is in the basket': ['Aiden', 'Nathan']}, {'The basket is in the dining room': ['Aiden', 'Nathan']}, {'Aiden moved the eggplant to the bucket': ['Aiden', 'Nathan']}, {'The bucket is in the dining room': ['Aiden', 'Nathan']}, {'Nathan exited the dining room': ['Nathan', 'Aiden']}, {'Lucas entered the dining room': ['Lucas', 'Aiden']}, {'Lucas exited the dining room': ['Lucas', 'Aiden']}, {'Nathan entered the dining room': ['Nathan', 'Aiden']}]"
27,28,first_order_1_no_tom,"['Isla entered the pantry', 'Charlotte entered the pantry', 'The suit is in the cupboard', 'The cupboard is in the pantry', 'Isla dislikes the grapefruit', 'Charlotte moved the suit to the drawer', 'The drawer is in the pantry', 'Isla exited the pantry', 'Jackson entered the bathroom', 'Charlotte exited the pantry', 'Isla entered the bathroom']","[['Isla'], ['Charlotte', 'Isla'], ['Isla', 'Charlotte'], ['Isla', 'Charlotte'], ['Isla'], ['Charlotte', 'Isla'], ['Isla', 'Charlotte'], ['Isla', 'Charlotte'], ['Jackson'], ['Charlotte'], ['Isla', 'Jackson']]","[{'Isla entered the pantry': ['Isla']}, {'Charlotte entered the pantry': ['Charlotte', 'Isla']}, {'The suit is in the cupboard': ['Isla', 'Charlotte']}, {'The cupboard is in the pantry': ['Isla', 'Charlotte']}, {'Isla dislikes the grapefruit': ['Isla']}, {'Charlotte moved the suit to the drawer': ['Charlotte', 'Isla']}, {'The drawer is in the pantry': ['Isla', 'Charlotte']}, {'Isla exited the pantry': ['Isla', 'Charlotte']}, {'Jackson entered the bathroom': ['Jackson']}, {'Charlotte exited the pantry': ['Charlotte']}, {'Isla entered the bathroom': ['Isla', 'Jackson']}]"
28,29,second_order_1_tom,"['Ethan entered the living room', 'Amelia entered the living room', 'Amelia hates the lemon', 'The peas is in the box', 'The box is in the living room', 'Ethan exited the living room', 'Amelia moved the peas to the container', 'The container is in the living room', 'William likes the socks']","[['Ethan'], ['Amelia', 'Ethan'], ['Amelia'], ['Ethan', 'Amelia'], ['Ethan', 'Amelia'], ['Ethan', 'Amelia'], ['Amelia'], ['Amelia'], ['William']]","[{'Ethan entered the living room': ['Ethan']}, {'Amelia entered the living room': ['Amelia', 'Ethan']}, {'Amelia hates the lemon': ['Amelia']}, {'The peas is in the box': ['Ethan', 'Amelia']}, {'The box is in the living room': ['Ethan', 'Amelia']}, {'Ethan exited the living room': ['Ethan', 'Amelia']}, {'Amelia moved the peas to the container': ['Amelia']}, {'The container is in the living room': ['Amelia']}, {'William likes the socks': ['William']}]"
30,31,first_order_0_tom,"['Oliver entered the patio', 'Elizabeth entered the patio', 'The asparagus is in the cupboard', 'The cupboard is in the patio', 'Avery entered the den', 'Avery exited the den', 'Oliver exited the patio', 'Elizabeth dislikes the corn', 'Elizabeth moved the asparagus to the bathtub', 'The bathtub is in the patio']","[['Oliver'], ['Elizabeth', 'Oliver'], ['Oliver', 'Elizabeth'], ['Oliver', 'Elizabeth'], ['Avery'], ['Avery'], ['Oliver', 'Elizabeth'], ['Elizabeth'], ['Elizabeth'], ['']]","[{'Oliver entered the patio': ['Oliver']}, {'Elizabeth entered the patio': ['Elizabeth', 'Oliver']}, {'The asparagus is in the cupboard': ['Oliver', 'Elizabeth']}, {'The cupboard is in the patio': ['Oliver', 'Elizabeth']}, {'Avery entered the den': ['Avery']}, {'Avery exited the den': ['Avery']}, {'Oliver exited the patio': ['Oliver', 'Elizabeth']}, {'Elizabeth dislikes the corn': ['Elizabeth']}, {'Elizabeth moved the asparagus to the bathtub': ['Elizabeth']}, {'The bathtub is in the patio': []}]"
33,34,first_order_1_no_tom,"['Avery entered the master bedroom', 'Ava entered the master bedroom', 'The undershirt is in the pantry', 'The pantry is in the master bedroom', 'Ava moved the undershirt to the drawer', 'The drawer is in the master bedroom', 'Noah entered the master bedroom', 'Avery exited the master bedroom', 'Ava exited the master bedroom', 'Noah exited the master bedroom', 'Avery entered the hallway', 'Ava loves the underclothes']","[['Avery'], ['Avery', 'Ava'], ['Avery', 'Ava'], ['Avery', 'Ava'], ['Avery', 'Ava'], ['Avery', 'Ava'], ['Noah', 'Avery', 'Ava'], ['Avery', 'Ava', 'Noah'], ['Ava', 'Noah'], ['Noah'], ['Avery'], ['Ava']]","[{'Avery entered the master bedroom': ['Avery']}, {'Ava entered the master bedroom': ['Avery', 'Ava']}, {'The undershirt is in the pantry': ['Avery', 'Ava']}, {'The pantry is in the master bedroom': ['Avery', 'Ava']}, {'Ava moved the undershirt to the drawer': ['Avery', 'Ava']}, {'The drawer is in the master bedroom': ['Avery', 'Ava']}, {'Noah entered the master bedroom': ['Noah', 'Avery', 'Ava']}, {'Avery exited the master bedroom': ['Avery', 'Ava', 'Noah']}, {'Ava exited the master bedroom': ['Ava', 'Noah']}, {'Noah exited the master bedroom': ['Noah']}, {'Avery entered the hallway': ['Avery']}, {'Ava loves the underclothes': ['Ava']}]"
34,35,second_order_1_tom,"['Aria entered the den', 'Avery entered the den', 'The dress is in the crate', 'The crate is in the den', 'Avery exited the den', 'Aria moved the dress to the treasure chest', 'The treasure chest is in the den', 'Avery likes the raincoat', 'Aria exited the den', 'Avery entered the den', 'Avery likes the t-shirt']","[['Aria'], ['Avery', 'Aria'], ['Aria', 'Avery'], ['Aria', 'Avery'], ['Avery', 'Aria'], ['Aria'], ['Aria'], ['Avery'], ['Aria'], ['Avery'], ['Avery']]","[{'Aria entered the den': ['Aria']}, {'Avery entered the den': ['Avery', 'Aria']}, {'The dress is in the crate': ['Aria', 'Avery']}, {'The crate is in the den': ['Aria', 'Avery']}, {'Avery exited the den': ['Avery', 'Aria']}, {'Aria moved the dress to the treasure chest': ['Aria']}, {'The treasure chest is in the den': ['Aria']}, {'Avery likes the raincoat': ['Avery']}, {'Aria exited the den': ['Aria']}, {'Avery entered the den': ['Avery']}, {'Avery likes the t-shirt': ['Avery']}]"
38,39,first_order_0_no_tom,"['Owen entered the study', 'James entered the study', 'Noah hates the cap', 'The scarf is in the container', 'The container is in the study', 'James moved the scarf to the envelope', 'The envelope is in the study', 'Owen exited the study', 'Owen entered the back yard']","[['Owen'], ['James', 'Owen'], ['Noah'], ['Owen', 'James'], ['Owen', 'James'], ['James', 'Owen'], ['Owen', 'James'], ['Owen', 'James'], ['Owen']]","[{'Owen entered the study': ['Owen']}, {'James entered the study': ['James', 'Owen']}, {'Noah hates the cap': ['Noah']}, {'The scarf is in the container': ['Owen', 'James']}, {'The container is in the study': ['Owen', 'James']}, {'James moved the scarf to the envelope': ['James', 'Owen']}, {'The envelope is in the study': ['Owen', 'James']}, {'Owen exited the study': ['Owen', 'James']}, {'Owen entered the back yard': ['Owen']}]"
39,40,second_order_1_no_tom,"['Oliver entered the pantry', 'Noah entered the pantry', 'Chloe entered the pantry', 'The skirt is in the box', 'The box is in the pantry', 'Noah moved the skirt to the crate', 'The crate is in the pantry', 'Chloe exited the pantry', 'Oliver likes the sweater', 'Noah exited the pantry', 'Chloe entered the pantry']","[['Oliver'], ['Noah', 'Oliver'], ['Chloe', 'Oliver', 'Noah'], ['Oliver', 'Noah', 'Chloe'], ['Oliver', 'Noah', 'Chloe'], ['Noah', 'Oliver', 'Chloe'], ['Oliver', 'Noah', 'Chloe'], ['Chloe', 'Oliver', 'Noah'], ['Oliver'], ['Noah', 'Oliver'], ['Chloe', 'Oliver']]","[{'Oliver entered the pantry': ['Oliver']}, {'Noah entered the pantry': ['Noah', 'Oliver']}, {'Chloe entered the pantry': ['Chloe', 'Oliver', 'Noah']}, {'The skirt is in the box': ['Oliver', 'Noah', 'Chloe']}, {'The box is in the pantry': ['Oliver', 'Noah', 'Chloe']}, {'Noah moved the skirt to the crate': ['Noah', 'Oliver', 'Chloe']}, {'The crate is in the pantry': ['Oliver', 'Noah', 'Chloe']}, {'Chloe exited the pantry': ['Chloe', 'Oliver', 'Noah']}, {'Oliver likes the sweater': ['Oliver']}, {'Noah exited the pantry': ['Noah', 'Oliver']}, {'Chloe entered the pantry': ['Chloe', 'Oliver']}]"
40,41,second_order_0_no_tom,"['Logan entered the garage', 'Logan dislikes the tangerine', 'Lucas entered the garage', 'The persimmon is in the bottle', 'The bottle is in the garage', 'Lucas moved the persimmon to the container', 'The container is in the garage', 'Logan exited the garage']","[['Logan'], ['Logan'], ['Lucas', 'Logan'], ['Logan', 'Lucas'], ['Logan', 'Lucas'], ['Lucas', 'Logan'], ['Logan', 'Lucas'], ['Logan', 'Lucas']]","[{'Logan entered the garage': ['Logan']}, {'Logan dislikes the tangerine': ['Logan']}, {'Lucas entered the garage': ['Lucas', 'Logan']}, {'The persimmon is in the bottle': ['Logan', 'Lucas']}, {'The bottle is in the garage': ['Logan', 'Lucas']}, {'Lucas moved the persimmon to the container': ['Lucas', 'Logan']}, {'The container is in the garage': ['Logan', 'Lucas']}, {'Logan exited the garage': ['Logan', 'Lucas']}]"
41,42,second_order_1_tom,"['Charlotte entered the TV room', 'Jack entered the TV room', 'The peach is in the basket', 'The basket is in the TV room', 'Charlotte exited the TV room', 'Jack hates the radish', 'Charlotte entered the front yard', 'Jack loves the lime', 'Jack moved the peach to the drawer', 'The drawer is in the TV room']","[['Charlotte'], ['Jack', 'Charlotte'], ['Charlotte', 'Jack'], ['Charlotte', 'Jack'], ['Charlotte', 'Jack'], ['Jack'], ['Charlotte'], ['Jack'], ['Jack'], ['Jack']]","[{'Charlotte entered the TV room': ['Charlotte']}, {'Jack entered the TV room': ['Jack', 'Charlotte']}, {'The peach is in the basket': ['Charlotte', 'Jack']}, {'The basket is in the TV room': ['Charlotte', 'Jack']}, {'Charlotte exited the TV room': ['Charlotte', 'Jack']}, {'Jack hates the radish': ['Jack']}, {'Charlotte entered the front yard': ['Charlotte']}, {'Jack loves the lime': ['Jack']}, {'Jack moved the peach to the drawer': ['Jack']}, {'The drawer is in the TV room': ['Jack']}]"
